user_id,recomendations
76561197970982479,"['Killing Floor', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
js41637,"['Euro Truck Simulator 2', 'Papers, Please', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
evcentric,"['Risk of Rain', 'Transistor', 'Gnomoria', 'Space Pirates and Zombies', 'Team Fortress 2']"
doctr,"['The Wolf Among Us', 'Max Payne 3', 'Defiance', 'The Witcher 2: Assassins of Kings Enhanced Edition', 'Alan Wake']"
maplemage,"['Counter-Strike: Global Offensive', 'Starbound', 'Team Fortress 2', ""Garry's Mod"", 'Awesomenauts - the 2D moba']"
Wackky,"['Left 4 Dead 2', 'Half-Life 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
76561198079601835,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
MeaTCompany,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198089393905,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198156664158,"['Rocket League®', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198077246154,"['Team Fortress 2', 'Unturned', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
WeiEDKrSat,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
thequeenpanda,"['Magicka', 'Terraria', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
death-hunter,"[""Garry's Mod"", 'Killing Floor', 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Killing Floor 2']"
DJKamBer,"['Team Fortress 2', 'Unturned', 'Counter-Strike: Global Offensive']"
Rainbow-Dashie,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Borderlands 2']"
76561198043472122,"['Farming Simulator 15', 'Watch_Dogs™', 'Trove', 'Heroes &amp; Generals']"
MarbleShrine,"['Kerbal Space Program', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Team Fortress 2']"
PPanther,"['Starbound', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Terraria']"
devvonst,"['Team Fortress 2', 'Left 4 Dead 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
Fr0stedLine,"['Half-Life 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Left 4 Dead 2']"
starkillershadow553,"['Halo: Spartan Assault', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Star Wars: Battlefront 2 (Classic, 2005)']"
76561198058373434,"['BioShock Infinite', 'Team Fortress 2', 'Borderlands 2', 'Counter-Strike: Global Offensive']"
76561198048353577,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Arma 2: Operation Arrowhead', 'Unturned']"
76561198066046412,"['Chivalry: Medieval Warfare', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'Unturned']"
tru_mu_,"['Mini Metro', 'Gunpoint', 'Crusader Kings II', 'Apotheon', 'Age of Empires® III: Complete Collection']"
76561198070565427,"['Loadout', 'Team Fortress 2', 'No More Room in Hell']"
SavageEeEe,"['DayZ', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust', 'Team Fortress 2']"
76561198076909484,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
KanadeTheNeko,"[""Garry's Mod"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', 'Unturned', 'Left 4 Dead 2']"
Leaf_Light_Moscow,"['TERA', 'Counter-Strike: Global Offensive', 'Tomb Raider', ""Garry's Mod""]"
GoAwayZach,"['Unturned', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198054540475,"['Mount &amp; Blade: Warband', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198085547365,"['BattleBlock Theater®', ""Bad Rats: the Rats' Revenge"", 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198061252210,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
OfficialShroomsy,"['The Binding of Isaac', 'Team Fortress 2', 'The Binding of Isaac: Rebirth', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
boydeer,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
VVillis,"['South Park™: The Stick of Truth™', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Saints Row IV']"
76561198083226897,"['Terraria', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198075277292,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198028895010,"['Portal 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Terraria']"
76561198170198366,"['Team Fortress 2', 'Counter-Strike: Global Offensive', 'Warframe']"
diego9031,"['Team Fortress 2', ""Garry's Mod"", 'No More Room in Hell', 'Counter-Strike: Global Offensive', 'Castle Crashers®']"
jarrodtrim,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198078738103,"['Unturned', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198067936203,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198079770573,"['Source Filmmaker', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Unturned']"
76561198087586464,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
Derp-e,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198070194565,"['Toribash', 'Orcs Must Die! Unchained', 'Team Fortress 2']"
Rivtex,"['The Escapists', 'Unturned', 'PlanetSide 2', 'Terraria', 'Hotline Miami']"
UTNerd24,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
sandwiches1,"['Emily is Away', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198138053270,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
lucaswerg,"['Insurgency', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
Life-Of-Blu,"['Starbound', 'Fallout 4', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Terraria']"
CaptianAutismo,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
76561198075895633,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
TheDropix101,"['Banished', 'Tomb Raider', 'DayZ', 'Unturned']"
kube134,"['Long Live The Queen', 'To the Moon', 'Fallout 3: Game of the Year Edition', 'Influent']"
iamthekingofbrowntown,"['Rocket League®', 'DARK SOULS™ II', 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
MainScout,"['Left 4 Dead 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
yookobz,"['Fallout 4', 'Hotline Miami', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
Posiblydead,"['Game Dev Tycoon', ""Mirror's Edge™"", 'Halo: Spartan Assault', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
Mossy_Gaming,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198102421718,"['Yet Another Zombie Defense', 'Depth', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198087407319,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198056741844,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
sad-commie,"['Pixel Piracy', ""Garry's Mod"", 'Chivalry: Medieval Warfare', 'Team Fortress 2', 'Rust']"
76561198030567998,"['Life is Strange - Episode 1', 'Saints Row: The Third', ""Five Nights at Freddy's 2"", 'Counter-Strike: Global Offensive', 'Team Fortress 2']"
76561198010674657,"['Fallout 4', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Team Fortress 2']"
Coldaniel,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Red Orchestra 2: Heroes of Stalingrad with Rising Storm']"
therealmorty,"['Killing Floor: Uncovered', 'AdVenture Capitalist', 'Emily is Away', 'Homefront®: The Revolution', 'Team Fortress 2']"
Berserklejerker,"['Undertale', 'Team Fortress 2', 'Terraria', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198061730629,"['Puzzle Pirates', 'Paper Sorcerer', 'Dragons and Titans', 'Final Rush']"
YoHuNz,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
possessioniskey,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198093112529,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198060447950,"['XCOM: Enemy Unknown', 'Counter-Strike: Global Offensive', ""Sid Meier's Civilization® V"", 'Team Fortress 2']"
whiteofwolfing,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
sergarino,"['Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive', 'Left 4 Dead 2']"
76561198081962345,"['Killing Floor', 'Realm of the Mad God', 'Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198073210139,"['Trove', 'Counter-Strike: Global Offensive', 'Unturned', ""Garry's Mod"", 'Team Fortress 2']"
Nozomikat,"['South Park™: The Stick of Truth™', 'Emily is Away', 'Sanctum 2', 'Team Fortress 2']"
xfluttersx,"['Team Fortress 2', 'Terraria', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198056290589,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
ii_voltage_ii,"['theHunter Classic', ""America's Army: Proving Grounds"", 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
76561198097762318,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
Hirukaz,"['Left 4 Dead 2', 'Team Fortress 2', ""Garry's Mod"", 'Counter-Strike: Global Offensive']"
StelerForYou,"['Counter-Strike: Global Offensive', 'Starbound', 'Team Fortress 2', ""Garry's Mod""]"
76561198183396245,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
Xx-Woods,"['No More Room in Hell', 'Team Fortress 2', 'Double Action: Boogaloo', 'Fallen Earth Free2Play', 'Counter-Strike: Global Offensive']"
kevinator23,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
76561198090715178,"[""Garry's Mod"", 'Unturned', 'Team Fortress 2', 'Counter-Strike: Global Offensive']"
CatsWhale,"['Arma 3', 'Gotham City Impostors Free to Play', 'Counter-Strike: Global Offensive', 'DayZ']"
76561198073784601,"['DayZ', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Rust', 'Team Fortress 2']"
mimimomoma,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
76561198102410011,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
de_Butl3r,"['Blacklight: Retribution', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'PlanetSide 2', 'Warframe']"
76561198027947401,"['Trove', 'Geometry Dash', 'Counter-Strike: Global Offensive', 'Team Fortress 2', 'Unturned']"
Bluezap1,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod"", 'Unturned']"
76561198074200011,"['Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod""]"
jonasdbomb,"['ARK: Survival Evolved', 'Counter-Strike: Global Offensive', 'Team Fortress 2', ""Garry's Mod"", 'Grand Theft Auto V']"
L1J1N,"['Team Fortress 2', 'Counter-Strike: Global Offensive', ""Garry's Mod""]"
Lord_Exploit,"['Geometry Dash', 'Team Fortress 2', 'Assassin’s Creed® Rogue', 'Counter-Strike: Global Offensive', 'Robocraft']"
