id,title,posted_year,times_recommended
10,Counter-Strike,2011.0,1
10,Counter-Strike,2012.0,3
10,Counter-Strike,2013.0,7
10,Counter-Strike,2014.0,21
10,Counter-Strike,2015.0,17
10090,Call of Duty: World at War,2012.0,1
10090,Call of Duty: World at War,2013.0,7
10090,Call of Duty: World at War,2014.0,13
10090,Call of Duty: World at War,2015.0,16
10130,TimeShift™,2014.0,1
10130,TimeShift™,2015.0,1
10140,3D Ultra™ Minigolf Adventures,2011.0,1
10150,Prototype™,2010.0,1
10150,Prototype™,2012.0,1
10150,Prototype™,2013.0,1
10150,Prototype™,2014.0,5
10150,Prototype™,2015.0,0
10180,Call of Duty®: Modern Warfare® 2,2011.0,3
10180,Call of Duty®: Modern Warfare® 2,2012.0,5
10180,Call of Duty®: Modern Warfare® 2,2013.0,9
10180,Call of Duty®: Modern Warfare® 2,2014.0,29
10180,Call of Duty®: Modern Warfare® 2,2015.0,19
10220,Postal III,2014.0,1
10220,Postal III,2015.0,0
102500,Kingdoms of Amalur: Reckoning™,2013.0,1
102500,Kingdoms of Amalur: Reckoning™,2014.0,7
102500,Kingdoms of Amalur: Reckoning™,2015.0,5
102600,Orcs Must Die!,2011.0,2
102600,Orcs Must Die!,2012.0,1
102600,Orcs Must Die!,2013.0,1
102600,Orcs Must Die!,2014.0,1
102700,A.V.A. Alliance of Valiant Arms™,2013.0,1
102700,A.V.A. Alliance of Valiant Arms™,2014.0,0
102700,A.V.A. Alliance of Valiant Arms™,2015.0,2
102840,Shank 2,2013.0,2
102840,Shank 2,2015.0,1
102850,Warp,2012.0,1
104000,iBomber Defense,2013.0,1
104200,BEEP,2015.0,0
104600,Portal 2 - The Final Hours,2013.0,1
104600,Portal 2 - The Final Hours,2014.0,0
104600,Portal 2 - The Final Hours,2015.0,1
104700,Super MNC,2012.0,6
104700,Super MNC,2013.0,10
104700,Super MNC,2014.0,10
104700,Super MNC,2015.0,6
104900,ORION: Prelude,2013.0,2
104900,ORION: Prelude,2014.0,65
104900,ORION: Prelude,2015.0,30
10500,Empire: Total War™,2010.0,0
10500,Empire: Total War™,2011.0,1
10500,Empire: Total War™,2012.0,1
10500,Empire: Total War™,2013.0,9
10500,Empire: Total War™,2014.0,9
10500,Empire: Total War™,2015.0,8
105100,Lume,2014.0,0
105300,Critical Mass,2013.0,1
105300,Critical Mass,2014.0,0
105420,Ms. Splosion Man,2014.0,1
105450,Age of Empires® III: Complete Collection,2013.0,4
105450,Age of Empires® III: Complete Collection,2014.0,14
105450,Age of Empires® III: Complete Collection,2015.0,7
105600,Terraria,2011.0,21
105600,Terraria,2012.0,37
105600,Terraria,2013.0,138
105600,Terraria,2014.0,223
105600,Terraria,2015.0,187
105700,Tobe's Vertical Adventure,2012.0,1
105800,PixelJunk™ Eden,2014.0,1
10604,Empire: Total War™ - Elite Units of the West,2015.0,1
10680,Aliens vs. Predator™,2011.0,2
10680,Aliens vs. Predator™,2012.0,2
10680,Aliens vs. Predator™,2013.0,2
10680,Aliens vs. Predator™,2014.0,5
10680,Aliens vs. Predator™,2015.0,7
107100,Bastion,2011.0,7
107100,Bastion,2012.0,8
107100,Bastion,2013.0,17
107100,Bastion,2014.0,28
107100,Bastion,2015.0,9
107200,Space Pirates and Zombies,2011.0,1
107200,Space Pirates and Zombies,2013.0,1
107200,Space Pirates and Zombies,2014.0,2
107300,Breath of Death VII,2011.0,1
107310,Cthulhu Saves the World,2011.0,1
107310,Cthulhu Saves the World,2012.0,1
107310,Cthulhu Saves the World,2014.0,1
107310,Cthulhu Saves the World,2015.0,0
107410,Arma 3,2013.0,23
107410,Arma 3,2014.0,80
107410,Arma 3,2015.0,68
107800,Rochard,2012.0,1
107800,Rochard,2013.0,2
107800,Rochard,2014.0,1
108200,Ticket to Ride,2015.0,1
108500,Vessel,2015.0,1
108600,Project Zomboid,2013.0,3
108600,Project Zomboid,2014.0,26
108600,Project Zomboid,2015.0,5
108710,Alan Wake,2012.0,5
108710,Alan Wake,2013.0,8
108710,Alan Wake,2014.0,6
108710,Alan Wake,2015.0,1
108800,Crysis 2 - Maximum Edition,2012.0,2
108800,Crysis 2 - Maximum Edition,2013.0,2
108800,Crysis 2 - Maximum Edition,2014.0,7
109600,Neverwinter,2013.0,15
109600,Neverwinter,2014.0,15
109600,Neverwinter,2015.0,12
11020,TrackMania Nations Forever,2012.0,1
11020,TrackMania Nations Forever,2013.0,2
11020,TrackMania Nations Forever,2014.0,6
11020,TrackMania Nations Forever,2015.0,4
110400,inMomentum,2015.0,1
110800,L.A. Noire,2012.0,1
110800,L.A. Noire,2013.0,4
110800,L.A. Noire,2014.0,2
110800,L.A. Noire,2015.0,5
11130,Sherlock Holmes: The Mystery of the Mummy,2014.0,0
11140,Sherlock Holmes: The Awakened - Remastered Edition,2014.0,1
111400,Bunch of Heroes,2015.0,0
111600,Serious Sam Double D XXL,2014.0,1
111600,Serious Sam Double D XXL,2015.0,0
111800,Blocks That Matter,2011.0,1
111800,Blocks That Matter,2014.0,1
111900,Guardians of Middle-earth,2014.0,0
111900,Guardians of Middle-earth,2015.0,0
11230,Gumboy Tournament,2012.0,1
11230,Gumboy Tournament,2014.0,0
11240,Space Trader: Merchant Marine,2014.0,1
11260,Pacific Storm Allies,2014.0,0
11280,Penguins Arena: Sedna's World,2014.0,3
11280,Penguins Arena: Sedna's World,2015.0,1
113020,Monaco: What's Yours Is Mine,2013.0,6
113020,Monaco: What's Yours Is Mine,2014.0,25
113020,Monaco: What's Yours Is Mine,2015.0,6
113200,The Binding of Isaac,2011.0,1
113200,The Binding of Isaac,2012.0,10
113200,The Binding of Isaac,2013.0,34
113200,The Binding of Isaac,2014.0,95
113200,The Binding of Isaac,2015.0,14
113204,Binding of Isaac: Wrath of the Lamb,2013.0,1
113204,Binding of Isaac: Wrath of the Lamb,2014.0,2
113204,Binding of Isaac: Wrath of the Lamb,2015.0,1
11330,Obulis,2014.0,1
11340,Larva Mortus,2014.0,1
113400,APB Reloaded,2011.0,2
113400,APB Reloaded,2012.0,2
113400,APB Reloaded,2013.0,17
113400,APB Reloaded,2014.0,38
113400,APB Reloaded,2015.0,22
113420,Fallen Earth Free2Play,2012.0,3
113420,Fallen Earth Free2Play,2013.0,5
113420,Fallen Earth Free2Play,2014.0,9
113420,Fallen Earth Free2Play,2015.0,1
11360,Chains,2013.0,1
11390,Crash Time 2,2014.0,0
11450,Overlord™,2011.0,1
11450,Overlord™,2013.0,0
11450,Overlord™,2014.0,2
11450,Overlord™,2015.0,2
115100,Costume Quest,2014.0,1
115100,Costume Quest,2015.0,1
115110,Stacking,2014.0,1
115320,Prototype 2,2014.0,1
115320,Prototype 2,2015.0,1
11590,Hospital Tycoon,2014.0,0
11590,Hospital Tycoon,2015.0,1
11610,Dragon Nest,2013.0,4
11610,Dragon Nest,2014.0,6
11610,Dragon Nest,2015.0,9
1200,Red Orchestra: Ostfront 41-45,2012.0,1
1200,Red Orchestra: Ostfront 41-45,2013.0,1
12100,Grand Theft Auto III,2013.0,1
12100,Grand Theft Auto III,2014.0,2
12100,Grand Theft Auto III,2015.0,2
12110,Grand Theft Auto: Vice City,2013.0,1
12110,Grand Theft Auto: Vice City,2014.0,6
12110,Grand Theft Auto: Vice City,2015.0,7
12120,Grand Theft Auto: San Andreas,2012.0,2
12120,Grand Theft Auto: San Andreas,2013.0,5
12120,Grand Theft Auto: San Andreas,2014.0,15
12120,Grand Theft Auto: San Andreas,2015.0,8
12130,Manhunt,2014.0,0
12140,Max Payne,2013.0,1
12140,Max Payne,2014.0,1
12140,Max Payne,2015.0,0
12150,Max Payne 2: The Fall of Max Payne,2015.0,0
12200,Bully: Scholarship Edition,2013.0,4
12200,Bully: Scholarship Edition,2014.0,11
12200,Bully: Scholarship Edition,2015.0,4
12220,Grand Theft Auto: Episodes from Liberty City,2011.0,1
12220,Grand Theft Auto: Episodes from Liberty City,2013.0,1
12220,Grand Theft Auto: Episodes from Liberty City,2014.0,3
12220,Grand Theft Auto: Episodes from Liberty City,2015.0,1
12330,Darkstar One,2015.0,1
12340,Jack Keane,2014.0,1
12360,FlatOut: Ultimate Carnage,2013.0,1
12360,FlatOut: Ultimate Carnage,2014.0,1
12430,SlamIt Pinball Big Score,2012.0,0
12470,Port Royale 2,2013.0,0
12480,9th Company: Roots Of Terror,2014.0,0
1250,Killing Floor,2010.0,5
1250,Killing Floor,2011.0,14
1250,Killing Floor,2012.0,9
1250,Killing Floor,2013.0,76
1250,Killing Floor,2014.0,123
1250,Killing Floor,2015.0,32
12500,PuzzleQuest: Challenge of the Warlords,2011.0,3
12590,Sprint Cars Road to Knoxville,2014.0,1
1280,Darkest Hour: Europe '44-'45,2014.0,1
12810,Overlord II,2011.0,0
12830,Operation Flashpoint: Dragon Rising,2011.0,1
12830,Operation Flashpoint: Dragon Rising,2014.0,1
12830,Operation Flashpoint: Dragon Rising,2015.0,0
12900,AudioSurf,2010.0,1
12900,AudioSurf,2011.0,5
12900,AudioSurf,2012.0,4
12900,AudioSurf,2013.0,10
12900,AudioSurf,2014.0,9
12900,AudioSurf,2015.0,4
130,Half-Life: Blue Shift,2015.0,3
13210,Unreal Tournament 3 Black,2012.0,1
13210,Unreal Tournament 3 Black,2013.0,1
13210,Unreal Tournament 3 Black,2014.0,2
13230,Unreal Tournament 2004: Editor's Choice Edition,2012.0,1
13230,Unreal Tournament 2004: Editor's Choice Edition,2013.0,1
13230,Unreal Tournament 2004: Editor's Choice Edition,2014.0,1
13230,Unreal Tournament 2004: Editor's Choice Edition,2015.0,2
13250,Unreal Gold,2015.0,1
13520,Far Cry®,2012.0,1
13520,Far Cry®,2014.0,1
13520,Far Cry®,2015.0,1
13560,Tom Clancy's Splinter Cell®,2014.0,0
13570,Tom Clancy's Splinter Cell Chaos Theory®,2010.0,1
13570,Tom Clancy's Splinter Cell Chaos Theory®,2014.0,2
13570,Tom Clancy's Splinter Cell Chaos Theory®,2015.0,2
13600,Prince of Persia®: The Sands of Time,2011.0,1
13600,Prince of Persia®: The Sands of Time,2014.0,2
15000,Tom Clancy's Rainbow Six Lockdown™,2015.0,0
1510,Uplink,2011.0,1
